match_id,team1,team2,venue,city,date,match_type
1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-05,ODI
1082592,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,2017-04-06,ODI
1082593,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,2017-04-07,ODI
1082594,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,2017-04-08,ODI
1082595,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Bengaluru,2017-04-08,ODI
1082596,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-09,ODI
1082597,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,2017-04-09,ODI
1082598,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,2017-04-10,ODI
1082599,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,2017-04-11,ODI
1082600,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,2017-04-12,ODI
1082601,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,2017-04-13,ODI
1082602,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-04-14,ODI
1082603,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,2017-04-14,ODI
1082604,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,2017-04-15,ODI
1082605,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,2017-04-15,ODI
1082606,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai,2017-04-16,ODI
1082607,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,2017-04-16,ODI
1082608,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2017-04-17,ODI
1082609,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-17,ODI
1082610,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,2017-04-18,ODI
1082611,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-19,ODI
1082612,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Indore,2017-04-20,ODI
1082613,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Kolkata,2017-04-21,ODI
1082614,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,2017-04-22,ODI
1082615,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,2017-04-22,ODI
1082616,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,2017-04-23,ODI
1082617,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,2017-04-23,ODI
1082618,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-04-24,ODI
1082620,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2017-04-26,ODI
1082621,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,2017-04-27,ODI
1082622,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,2017-04-28,ODI
1082623,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-28,ODI
1082624,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,2017-04-29,ODI
1082625,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,Rajkot,2017-04-29,ODI
1082626,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-30,ODI
1082627,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-30,ODI
1082628,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2017-05-01,ODI
1082629,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,2017-05-01,ODI
1082630,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2017-05-02,ODI
1082631,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Kolkata,2017-05-03,ODI
1082632,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi,2017-05-04,ODI
1082633,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2017-05-05,ODI
1082634,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-06,ODI
1082635,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,2017-05-06,ODI
1082636,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-07,ODI
1082637,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-07,ODI
1082638,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-08,ODI
1082639,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-09,ODI
1082640,Gujarat Lions,Delhi Daredevils,Green Park,Kanpur,2017-05-10,ODI
1082641,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,2017-05-11,ODI
1082642,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi,2017-05-12,ODI
1082643,Gujarat Lions,Sunrisers Hyderabad,Green Park,Kanpur,2017-05-13,ODI
1082644,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,2017-05-13,ODI
1082645,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,Pune,2017-05-14,ODI
1082646,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2017-05-14,ODI
1082647,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-05-16,ODI
1082648,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-17,ODI
1082649,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-19,ODI
1082650,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-21,ODI
